3-Jan-00,,,,,,,,,,,,,,,
31-Oct-23,,,,,,,,,,,,,,,
,A,,Start Date,1/3/2000,,,,,,,,,,,
,B,,End Date,,,,,,,,,,,,
,C,,,,,,,,,,,,,,
,,,,A Index,B Index,C Index,D Index ,,,,,,,,
,,,,Last Price,Last Price,Last Price,Last Price,,,,,,,,
,,,Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,,,,,,,,
,,,10/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/23/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/30/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/31/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/2/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/9/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/15/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/16/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/22/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/23/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,11/30/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/15/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/22/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,12/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/1/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/2/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
