3-Jan-00,,,,,,,,,,,,,,,
31-Oct-23,,,,,,,,,,,,,,,
,A,,Start Date,1/3/2000,,,,,,,,,,,
,B,,End Date,,,,,,,,,,,,
,C,,,,,,,,,,,,,,
,,,,A Index,B Index,C Index,D Index ,,,,,,,,
,,,,Last Price,Last Price,Last Price,Last Price,,,,,,,,
,,,Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,,,,,,,,
,,,1/10/2019,220.9,1208.68,2670.37,273.3121,,,,,,,,
,,,1/11/2019,221.32,1208.92,2673.47,273.9091,,,,,,,,
,,,1/14/2019,220.64,1204.65,2666.19,274.0679,,,,,,,,
,,,1/15/2019,221.13,1207.26,2674.65,274.4663,,,,,,,,
,,,1/16/2019,220.98,1208.53,2679.56,273.9243,,,,,,,,
,,,1/17/2019,221.21,1213.03,2686.4,273.269,,,,,,,,
,,,1/18/2019,221.25,1217.77,2692.83,272.5372,,,,,,,,
,,,1/21/2019,221.25,1217.77,2692.83,272.5372,,,,,,,,
,,,1/22/2019,221.25,1211.74,2686.33,273.556,,,,,,,,
,,,1/23/2019,220.91,1210.99,2689.21,273.4129,,,,,,,,
,,,1/24/2019,222.03,1216.77,2693.99,274.9405,,,,,,,,
,,,1/25/2019,221.76,1221,2704.73,274.3327,,,,,,,,
,,,1/28/2019,221.52,1217.45,2698.53,274.1018,,,,,,,,
,,,1/29/2019,221.95,1218.27,2703.83,274.7934,,,,,,,,
,,,1/30/2019,223.27,1228.75,2722.06,275.2892,,,,,,,,
,,,1/31/2019,224.48,1243.05,2738.16,276.6596,,,,,,,,
,,,2/1/2019,223.4,1238.03,2733.09,275.8465,,,,,,,,
,,,2/4/2019,222.77,1237.65,2733.01,275.1275,,,,,,,,
,,,2/5/2019,223.92,1243.12,2741.37,275.8236,,,,,,,,
,,,2/6/2019,223.73,1242.49,2736.43,275.8442,,,,,,,,
,,,2/7/2019,224.02,1238.38,2733.17,276.0924,,,,,,,,
,,,2/8/2019,224.32,1240.52,2739.03,276.2542,,,,,,,,
,,,2/11/2019,223.99,1238.87,2733.16,276.1756,,,,,,,,
,,,2/12/2019,224.09,1244.46,2743.07,276.9093,,,,,,,,
,,,2/13/2019,223.99,1244.12,2740.33,277.2136,,,,,,,,
,,,2/14/2019,225.09,1247.74,2744.68,277.4377,,,,,,,,
,,,2/15/2019,225.58,1254.3,2756.12,278.1787,,,,,,,,
,,,2/18/2019,225.58,1254.3,2756.12,278.1787,,,,,,,,
,,,2/19/2019,226.05,1257.74,2764.31,278.5052,,,,,,,,
,,,2/20/2019,225.82,1258.63,2763.08,278.8742,,,,,,,,
,,,2/21/2019,224.54,1251.63,2749.42,278.286,,,,,,,,
,,,2/22/2019,225.64,1260.55,2761.96,279.1165,,,,,,,,
,,,2/25/2019,225.32,1261.16,2759.83,279.1377,,,,,,,,
,,,2/26/2019,226.26,1262.55,2763.34,279.2429,,,,,,,,
,,,2/27/2019,224.68,1257.46,2751.8,278.5318,,,,,,,,
,,,2/28/2019,223.95,1250.25,2745.05,278.1274,,,,,,,,
,,,3/1/2019,222.98,1250.06,2737.08,278.4354,,,,,,,,
,,,3/4/2019,223.41,1248.02,2739.06,278.6062,,,,,,,,
,,,3/5/2019,223.3,1248.78,2739.95,278.5606,,,,,,,,
,,,3/6/2019,223.49,1246.98,2738.66,279.0596,,,,,,,,
,,,3/7/2019,224.23,1242.86,2739.37,280.3374,,,,,,,,
,,,3/8/2019,224.71,1242.53,2744.92,280.0784,,,,,,,,
,,,3/11/2019,224.89,1255.03,2752.03,280.4826,,,,,,,,
,,,3/12/2019,225.87,1260.64,2763.32,280.9773,,,,,,,,
,,,3/13/2019,226.15,1267.13,2768.29,281.1032,,,,,,,,
,,,3/14/2019,225.65,1262.89,2758.06,280.4567,,,,,,,,
,,,3/15/2019,226.27,1272.16,2770.54,281.0739,,,,,,,,
,,,3/18/2019,226.35,1275.38,2772.01,281.1917,,,,,,,,
,,,3/19/2019,225.93,1272.17,2771.47,280.7201,,,,,,,,
,,,3/20/2019,227.18,1277.44,2783.91,281.857,,,,,,,,
,,,3/21/2019,227.54,1291.93,2794.76,282.9126,,,,,,,,
,,,3/22/2019,229.25,1283.9,2796.17,284.7725,,,,,,,,
,,,3/25/2019,231.04,1286.59,2800.28,285.0023,,,,,,,,
,,,3/26/2019,231.03,1289.57,2803.2,285.1813,,,,,,,,
,,,3/27/2019,232.45,1289.96,2804.93,286.9061,,,,,,,,
,,,3/28/2019,232.15,1294.72,2806.96,286.6013,,,,,,,,
,,,3/29/2019,231.36,1297.34,2810.41,286.3948,,,,,,,,
,,,4/1/2019,230.37,1300.14,2804.08,285.0372,,,,,,,,
,,,4/2/2019,230.92,1299.18,2808.09,285.7088,,,,,,,,
,,,4/3/2019,230.54,1299.16,2800.34,284.6159,,,,,,,,
,,,4/4/2019,230.29,1300.78,2806.17,284.7881,,,,,,,,
,,,4/5/2019,230.07,1306.29,2812.3,284.6513,,,,,,,,
,,,4/8/2019,229.98,1305.66,2809.23,284.5758,,,,,,,,
,,,4/9/2019,230.14,1303.19,2810.54,284.9187,,,,,,,,
,,,4/10/2019,230.6,1309.9,2822.3,285.6927,,,,,,,,
,,,4/11/2019,229.53,1302.31,2810.61,284.9613,,,,,,,,
,,,4/12/2019,228.85,1302.06,2809.01,283.0648,,,,,,,,
,,,4/15/2019,228.65,1299.28,2805.95,283.0563,,,,,,,,
,,,4/16/2019,228.44,1296.85,2794.57,282.4058,,,,,,,,
,,,4/17/2019,228.47,1294.19,2790.07,281.9916,,,,,,,,
,,,4/18/2019,228.87,1298.99,2796.91,283.5587,,,,,,,,
,,,4/19/2019,228.87,1298.99,2796.91,283.5587,,,,,,,,
,,,4/22/2019,228.38,1296.06,2790.63,283.3045,,,,,,,,
,,,4/23/2019,229.72,1306.19,2803.33,283.1948,,,,,,,,
,,,4/24/2019,230.59,1311.41,2812.09,284.7158,,,,,,,,
,,,4/25/2019,230.41,1307.89,2809.56,284.4678,,,,,,,,
,,,4/26/2019,231.63,1318.23,2822.87,285.0285,,,,,,,,
,,,4/29/2019,231.15,1314.06,2813.12,284.3991,,,,,,,,
,,,4/30/2019,231.86,1317.04,2819.1,284.3952,,,,,,,,
,,,5/1/2019,231.14,1312.26,2812.29,284.2691,,,,,,,,
,,,5/2/2019,229.61,1303.64,2801.35,283.6665,,,,,,,,
,,,5/3/2019,230.6,1316.77,2818.64,283.9055,,,,,,,,
,,,5/6/2019,230.91,1315.15,2817.58,284.4597,,,,,,,,
,,,5/7/2019,230.74,1302.96,2809.01,285.7253,,,,,,,,
,,,5/8/2019,230.32,1301.81,2800.8,285.4965,,,,,,,,
,,,5/9/2019,231.06,1300.21,2802.12,285.6156,,,,,,,,
,,,5/10/2019,231.19,1305.64,2806.87,285.8449,,,,,,,,
,,,5/13/2019,232,1288.64,2788.77,285.3934,,,,,,,,
,,,5/14/2019,231.89,1295.99,2796.36,285.9087,,,,,,,,
,,,5/15/2019,232.59,1304.83,2810.28,287.1306,,,,,,,,
,,,5/16/2019,231.84,1307.62,2814.62,287.7108,,,,,,,,
,,,5/17/2019,231.43,1303.86,2809.63,287.6091,,,,,,,,
,,,5/20/2019,230.53,1296.04,2798.95,286.2714,,,,,,,,
,,,5/21/2019,230.13,1299.27,2806.79,286.3584,,,,,,,,
,,,5/22/2019,230.08,1300.44,2809.93,286.9641,,,,,,,,
,,,5/23/2019,231.86,1299.71,2809.94,287.4441,,,,,,,,
,,,5/24/2019,231.35,1303.03,2814.95,287.4114,,,,,,,,
,,,5/27/2019,231.35,1303.03,2814.95,287.4114,,,,,,,,
,,,5/28/2019,231.53,1301.05,2812.23,288.3521,,,,,,,,
,,,5/29/2019,231.89,1299.55,2808.1,288.1914,,,,,,,,
,,,5/30/2019,232.51,1303.03,2824.21,288.4798,,,,,,,,
,,,5/31/2019,231.22,1303.94,2824.93,288.8592,,,,,,,,
,,,6/3/2019,231.57,1307.06,2830.71,289.398,,,,,,,,
,,,6/4/2019,231.49,1316.57,2845.14,290.5198,,,,,,,,
,,,6/5/2019,230.51,1324.02,2850.11,291.6342,,,,,,,,
,,,6/6/2019,231.29,1330.12,2860.6,292.1179,,,,,,,,
,,,6/7/2019,232.87,1344.12,2883.82,293.5201,,,,,,,,
,,,6/10/2019,232.39,1341.55,2874.13,292.1203,,,,,,,,
,,,6/11/2019,232.53,1340.41,2873.94,292.5775,,,,,,,,
,,,6/12/2019,232.62,1339.51,2874.69,292.969,,,,,,,,
,,,6/13/2019,233.93,1345.16,2885.07,293.6589,,,,,,,,
,,,6/14/2019,233.73,1344.17,2884.38,293.9791,,,,,,,,
,,,6/17/2019,234.2,1346.94,2886,293.6566,,,,,,,,
,,,6/18/2019,235.31,1361.12,2909.25,296.0741,,,,,,,,
,,,6/19/2019,236.23,1366.68,2922.41,295.7121,,,,,,,,
,,,6/20/2019,237.1,1379.31,2941.78,297.0997,,,,,,,,
,,,6/21/2019,235.34,1369.65,2929.43,295.3943,,,,,,,,
,,,6/24/2019,236.28,1370.12,2934.64,296.4967,,,,,,,,
,,,6/25/2019,236.32,1363.25,2926.07,297.2634,,,,,,,,
,,,6/26/2019,235.02,1360.66,2918.72,295.8393,,,,,,,,
,,,6/27/2019,236.32,1366.3,2931.31,296.5476,,,,,,,,
,,,6/28/2019,236.58,1371.47,2938.27,296.9635,,,,,,,,
,,,7/1/2019,235.73,1375.23,2942.55,297.4548,,,,,,,,
,,,7/2/2019,237.23,1379.99,2953.37,298.2158,,,,,,,,
,,,7/3/2019,238.16,1388.39,2967.67,299.2596,,,,,,,,
,,,7/4/2019,238.16,1388.39,2967.67,299.2596,,,,,,,,
,,,7/5/2019,236.08,1379.91,2950.5,297.272,,,,,,,,
,,,7/8/2019,235.83,1378.03,2944.04,297.4358,,,,,,,,
,,,7/9/2019,235.74,1378.16,2943.63,296.7055,,,,,,,,
,,,7/10/2019,236.38,1381.22,2946.77,296.0457,,,,,,,,
,,,7/11/2019,235.17,1378.59,2935.63,294.7924,,,,,,,,
,,,7/12/2019,235.84,1379.88,2941.44,294.8166,,,,,,,,
,,,7/15/2019,236.18,1383.21,2947.48,295.7698,,,,,,,,
,,,7/16/2019,235.24,1378.87,2939.99,295.3778,,,,,,,,
,,,7/17/2019,236.34,1377.82,2944.03,296.2225,,,,,,,,
,,,7/18/2019,237.2,1380.46,2949.7,296.9593,,,,,,,,
,,,7/19/2019,236.21,1376.03,2939.47,296.8196,,,,,,,,
,,,7/22/2019,236.64,1380.27,2946.55,297.5786,,,,,,,,
,,,7/23/2019,236.32,1383.38,2951.53,298.2077,,,,,,,,
,,,7/24/2019,237.24,1388.69,2962.83,299.1273,,,,,,,,
,,,7/25/2019,236.14,1383.73,2949.57,298.1527,,,,,,,,
,,,7/26/2019,236.65,1388.47,2960.93,298.6464,,,,,,,,
,,,7/29/2019,237.1,1388.5,2958.31,299.1649,,,,,,,,
,,,7/30/2019,236.81,1385.95,2957.16,298.6712,,,,,,,,
,,,7/31/2019,236.39,1384.06,2949.39,298.9108,,,,,,,,
,,,8/1/2019,238.84,1381.55,2959.25,300.7349,,,,,,,,
,,,8/2/2019,238.81,1383.39,2958.22,300.4611,,,,,,,,
,,,8/5/2019,239.33,1363.06,2931.86,300.317,,,,,,,,
,,,8/6/2019,240.46,1378.11,2959.92,301.1475,,,,,,,,
,,,8/7/2019,242.11,1385.07,2965.08,302.6018,,,,,,,,
,,,8/8/2019,243.01,1393.64,2987.01,303.4482,,,,,,,,
,,,8/9/2019,241.9,1392.28,2978.49,303.105,,,,,,,,
,,,8/12/2019,242.79,1389.75,2980.74,303.299,,,,,,,,
,,,8/13/2019,243.33,1399.12,2991.98,303.8913,,,,,,,,
,,,8/14/2019,242.85,1386.47,2977.91,302.9109,,,,,,,,
,,,8/15/2019,244.06,1389.16,2990.91,304.005,,,,,,,,
,,,8/16/2019,245.16,1392.7,2999.96,304.535,,,,,,,,
,,,8/19/2019,244.65,1396,3001.51,304.7488,,,,,,,,
,,,8/20/2019,245.07,1394.54,3000.49,305.0394,,,,,,,,
,,,8/21/2019,245.6,1399.82,3004.02,305.328,,,,,,,,
,,,8/22/2019,244.83,1399.62,2999.51,304.464,,,,,,,,
,,,8/23/2019,244.1,1391.73,2984.5,303.8647,,,,,,,,
,,,8/26/2019,244.57,1396.83,2994.35,304.3545,,,,,,,,
,,,8/27/2019,245.86,1396.84,3000.2,304.9061,,,,,,,,
,,,8/28/2019,246.68,1400.68,3006.41,305.9367,,,,,,,,
,,,8/29/2019,246.93,1403.1,3016.6,306.3575,,,,,,,,
,,,8/30/2019,247.11,1403.69,3016.56,306.6021,,,,,,,,
,,,9/2/2019,247.11,1403.69,3016.56,306.6021,,,,,,,,
,,,9/3/2019,247.38,1405.55,3013.47,306.7937,,,,,,,,
,,,9/4/2019,248.79,1411.57,3025.93,307.109,,,,,,,,
,,,9/5/2019,247.87,1407.49,3024.85,305.5603,,,,,,,,
,,,9/6/2019,248.27,1410.27,3029.65,306.7446,,,,,,,,
,,,9/9/2019,247.13,1407.09,3021.4,304.6949,,,,,,,,
,,,9/10/2019,245.85,1400.62,3009.87,303.2244,,,,,,,,
,,,9/11/2019,246.34,1403.32,3019.32,303.2227,,,,,,,,
,,,9/12/2019,245.46,1403.21,3021.64,302.3976,,,,,,,,
,,,9/13/2019,243.18,1395.49,3007.34,299.3491,,,,,,,,
,,,9/16/2019,244.26,1398.17,3015.27,300.4238,,,,,,,,
,,,9/17/2019,244.91,1404.12,3023.6,300.5534,,,,,,,,
,,,9/18/2019,245.43,1403.88,3023.39,301.3301,,,,,,,,
,,,9/19/2019,245.57,1405.98,3028.27,301.7053,,,,,,,,
,,,9/20/2019,245.24,1405.11,3033.33,301.9103,,,,,,,,
,,,9/23/2019,246.15,1410.23,3033.86,303.264,,,,,,,,
,,,9/24/2019,246.51,1408.6,3032.25,304.108,,,,,,,,
,,,9/25/2019,245.56,1409.41,3028.4,303.165,,,,,,,,
,,,9/26/2019,245.99,1409.46,3031.1,303.4088,,,,,,,,
,,,9/27/2019,245.38,1401.2,3021.65,303.3275,,,,,,,,
,,,9/30/2019,245.65,1405.7,3027.15,303.2991,,,,,,,,
,,,10/1/2019,244.52,1395.05,3014.27,302.9742,,,,,,,,
,,,10/2/2019,243.46,1382.3,2997.97,302.8958,,,,,,,,
,,,10/3/2019,244.85,1393.35,3014.92,304.4355,,,,,,,,
,,,10/4/2019,246.75,1407.41,3034.59,304.9772,,,,,,,,
,,,10/7/2019,246.14,1403.09,3022.65,304.4662,,,,,,,,
,,,10/8/2019,244.89,1393.44,3008.56,304.2701,,,,,,,,
,,,10/9/2019,244.46,1398.39,3015.85,303.6879,,,,,,,,
,,,10/10/2019,244.48,1400.51,3013.08,302.8141,,,,,,,,
,,,10/11/2019,244.49,1405.97,3017.71,302.3945,,,,,,,,
,,,10/14/2019,244.9,1405.56,3020.5,302.4222,,,,,,,,
,,,10/15/2019,245.15,1412.18,3025.5,302.5723,,,,,,,,
,,,10/16/2019,245.1,1410.81,3024.19,302.4568,,,,,,,,
,,,10/17/2019,245.15,1412.98,3027.48,302.5525,,,,,,,,
,,,10/18/2019,244.62,1409.12,3022.23,302.0829,,,,,,,,
,,,10/21/2019,244.53,1413.67,3025.04,301.5085,,,,,,,,
,,,10/22/2019,244.48,1409.3,3024.85,302.1031,,,,,,,,
,,,10/23/2019,244.95,1414.95,3029.13,302.6838,,,,,,,,
,,,10/24/2019,245.14,1416.22,3033.2,303.1874,,,,,,,,
,,,10/25/2019,245.47,1420.8,3034.16,302.4639,,,,,,,,
,,,10/28/2019,245.62,1423.5,3034.17,301.6096,,,,,,,,
,,,10/29/2019,245.58,1422.27,3031.88,301.9214,,,,,,,,
,,,10/30/2019,246.04,1428.74,3044.97,302.3862,,,,,,,,
,,,10/31/2019,246.42,1430.26,3053.44,304.08,,,,,,,,
,,,11/1/2019,247.41,1439.97,3064.49,304.1741,,,,,,,,
,,,11/4/2019,247.49,1443.03,3061.22,303.7633,,,,,,,,
,,,11/5/2019,246.91,1439.09,3051.67,302.3966,,,,,,,,
,,,11/6/2019,247,1440.14,3057.41,302.7521,,,,,,,,
,,,11/7/2019,246.53,1439.5,3047.58,300.7963,,,,,,,,
,,,11/8/2019,246.67,1439.08,3047.38,300.8637,,,,,,,,
,,,11/11/2019,246.51,1435.47,3044.65,300.6223,,,,,,,,
,,,11/12/2019,246.79,1435.98,3049.73,300.9737,,,,,,,,
,,,11/13/2019,247.03,1435.32,3054.01,301.9798,,,,,,,,
,,,11/14/2019,247.45,1438.13,3063.52,303.1144,,,,,,,,
,,,11/15/2019,248.08,1445.47,3072.56,303.5658,,,,,,,,
,,,11/18/2019,248.15,1446.8,3074.44,303.8017,,,,,,,,
,,,11/19/2019,248.56,1448.82,3079.74,303.9067,,,,,,,,
,,,11/20/2019,248.48,1445.49,3080.73,304.0689,,,,,,,,
,,,11/21/2019,247.98,1441.61,3072.37,303.2173,,,,,,,,
,,,11/22/2019,248.34,1445.24,3077.45,303.7355,,,,,,,,
,,,11/25/2019,249.89,1457.66,3093.7,304.5334,,,,,,,,
,,,11/26/2019,250.25,1460.54,3100.78,305.306,,,,,,,,
,,,11/27/2019,250.88,1467.61,3104.42,305.4387,,,,,,,,
,,,11/28/2019,250.88,1467.61,3104.42,305.4387,,,,,,,,
,,,11/29/2019,250.57,1451.52,3090.44,304.4446,,,,,,,,
,,,12/2/2019,248.76,1436.95,3069.96,301.3509,,,,,,,,
,,,12/3/2019,249.73,1436.39,3077.39,302.7457,,,,,,,,
,,,12/4/2019,249.85,1442.25,3081.28,302.7741,,,,,,,,
,,,12/5/2019,249.67,1443.7,3080.54,302.5587,,,,,,,,
,,,12/6/2019,250.36,1451.31,3089.1,303.0325,,,,,,,,
,,,12/9/2019,250.31,1450.05,3084.66,302.8353,,,,,,,,
,,,12/10/2019,250.64,1452.96,3085.07,302.6928,,,,,,,,
,,,12/11/2019,251.67,1459.52,3099.83,303.2895,,,,,,,,
,,,12/12/2019,250.96,1463.78,3103.15,303.1645,,,,,,,,
,,,12/13/2019,251.58,1466.12,3113.4,304.0289,,,,,,,,
,,,12/16/2019,252.43,1472.35,3119.11,304.4088,,,,,,,,
,,,12/17/2019,251.8,1474.75,3121.37,304.2931,,,,,,,,
,,,12/18/2019,251.12,1475.28,3120.34,303.707,,,,,,,,
,,,12/19/2019,251.2,1476.77,3126.58,303.8794,,,,,,,,
,,,12/20/2019,251.8,1481.62,3132.31,304.5213,,,,,,,,
,,,12/23/2019,252.36,1483.6,3134.38,304.4743,,,,,,,,
,,,12/24/2019,252.62,1484.12,3138.03,304.618,,,,,,,,
,,,12/25/2019,252.62,1484.12,3138.03,304.618,,,,,,,,
,,,12/26/2019,253.15,1492.09,3151.07,305.1633,,,,,,,,
,,,12/27/2019,253.19,1489.72,3151.01,305.408,,,,,,,,
,,,12/30/2019,251.54,1479.65,3140.72,303.7485,,,,,,,,
,,,12/31/2019,251.77,1480.29,3140.34,303.8436,,,,,,,,
,,,1/1/2020,251.77,1480.29,3140.34,303.8436,,,,,,,,
,,,1/2/2020,253.51,1500.4,3166.47,305.6237,,,,,,,,
,,,1/3/2020,252.78,1492.52,3162.24,305.79,,,,,,,,
,,,1/6/2020,253.93,1495.99,3166.17,305.6656,,,,,,,,
,,,1/7/2020,253.75,1491.81,3159.32,305.5774,,,,,,,,
,,,1/8/2020,253.97,1498.52,3165.38,305.4842,,,,,,,,
,,,1/9/2020,254.32,1502.55,3182.25,306.1569,,,,,,,,
,,,1/10/2020,254.55,1505.02,3184.46,306.0802,,,,,,,,
,,,1/13/2020,254.93,1515.7,3196.62,306.2292,,,,,,,,
,,,1/14/2020,254.81,1516.11,3194.19,306.1353,,,,,,,,
,,,1/15/2020,255.12,1519.54,3202.63,306.1783,,,,,,,,
,,,1/16/2020,255.81,1526.58,3219.09,306.7915,,,,,,,,
,,,1/17/2020,255.74,1526.7,3222.46,307.3896,,,,,,,,
,,,1/20/2020,255.74,1526.7,3222.46,307.3896,,,,,,,,
,,,1/21/2020,255.54,1527.23,3228.2,306.6562,,,,,,,,
,,,1/22/2020,255.4,1529.36,3231.02,306.1989,,,,,,,,
,,,1/23/2020,255.53,1536.83,3240.69,305.5875,,,,,,,,
,,,1/24/2020,255.12,1529.66,3228.96,304.9614,,,,,,,,
,,,1/27/2020,253.92,1516.59,3203.87,302.0747,,,,,,,,
,,,1/28/2020,254.5,1527,3222.42,303.098,,,,,,,,
,,,1/29/2020,254.69,1528.56,3228.8,303.1694,,,,,,,,
,,,1/30/2020,254.77,1538.82,3234.63,302.6084,,,,,,,,
,,,1/31/2020,253.68,1527.69,3210.5,301.4322,,,,,,,,
,,,2/3/2020,254.08,1530.19,3226.83,301.4743,,,,,,,,
,,,2/4/2020,254.21,1539.12,3246.15,302.8925,,,,,,,,
,,,2/5/2020,254.99,1540.79,3251.6,304.3149,,,,,,,,
,,,2/6/2020,255.27,1541.45,3261.16,304.878,,,,,,,,
,,,2/7/2020,254.95,1544.67,3259.31,305.1384,,,,,,,,
,,,2/10/2020,255.56,1552.36,3273.01,306.0835,,,,,,,,
,,,2/11/2020,255.39,1549.53,3274.14,305.3579,,,,,,,,
,,,2/12/2020,255.58,1549.9,3280.72,304.6632,,,,,,,,
,,,2/13/2020,255.43,1548.62,3282.1,304.9904,,,,,,,,
,,,2/14/2020,255.47,1551.55,3286.82,305.4099,,,,,,,,
,,,2/17/2020,255.47,1551.55,3286.82,305.4099,,,,,,,,
,,,2/18/2020,255.7,1553.78,3290.1,305.8407,,,,,,,,
,,,2/19/2020,255.88,1552.79,3296.62,305.8222,,,,,,,,
,,,2/20/2020,255.79,1557.75,3299.76,306.5212,,,,,,,,
,,,2/21/2020,256.39,1564.4,3300.72,307.0955,,,,,,,,
,,,2/24/2020,254.9,1569.35,3277.32,308.6462,,,,,,,,
,,,2/25/2020,253.48,1571.16,3243.33,309.9516,,,,,,,,
,,,2/26/2020,254.32,1572.77,3238.07,309.8859,,,,,,,,
,,,2/27/2020,253.21,1574.22,3212.67,310.9317,,,,,,,,
,,,2/28/2020,254.98,1591.56,3202.87,313.5876,,,,,,,,
,,,3/2/2020,258.73,1600.33,3217.03,314.3179,,,,,,,,
,,,3/3/2020,258.54,1607.43,3233.68,314.8221,,,,,,,,
,,,3/4/2020,262.79,1615.21,3245.97,315.4908,,,,,,,,
,,,3/5/2020,262.21,1615.24,3252.71,316.3697,,,,,,,,
,,,3/6/2020,264.73,1623.4,3271.7,318.4064,,,,,,,,
,,,3/9/2020,262.76,1622.91,3236.94,320.9723,,,,,,,,
,,,3/10/2020,260.81,1615.51,3205.75,318.2293,,,,,,,,
,,,3/11/2020,260.32,1615.58,3164.18,317.0002,,,,,,,,
,,,3/12/2020,249.9,1613.78,3113.17,315.7042,,,,,,,,
,,,3/13/2020,255.75,1617.09,3125.47,313.4285,,,,,,,,
,,,3/16/2020,248.02,1611.13,3112.38,312.4374,,,,,,,,
,,,3/17/2020,246.32,1611.09,3103.05,311.7383,,,,,,,,
,,,3/18/2020,238.65,1605.48,3075.95,309.9769,,,,,,,,
,,,3/19/2020,242.8,1606.65,3069.46,309.9633,,,,,,,,
,,,3/20/2020,243.41,1610,3079.62,311.0613,,,,,,,,
,,,3/23/2020,245.33,1615.72,3096.72,311.7744,,,,,,,,
,,,3/24/2020,250.29,1620.24,3111.47,311.7245,,,,,,,,
,,,3/25/2020,250.08,1628.72,3117.59,311.6332,,,,,,,,
,,,3/26/2020,254.28,1635.7,3126.09,312.1892,,,,,,,,
,,,3/27/2020,252.51,1632.84,3126.69,312.4889,,,,,,,,
,,,3/30/2020,254.85,1635.88,3129.08,312.8693,,,,,,,,
,,,3/31/2020,252.94,1632.61,3122.32,312.5494,,,,,,,,
,,,4/1/2020,250.53,1625.61,3118.74,312.5349,,,,,,,,
,,,4/2/2020,251.82,1631.7,3123.16,312.3799,,,,,,,,
,,,4/3/2020,251.53,1628.32,3120.92,312.3963,,,,,,,,
,,,4/6/2020,253.75,1638.86,3130.03,312.2529,,,,,,,,
,,,4/7/2020,252.98,1636.78,3128.47,311.9049,,,,,,,,
,,,4/8/2020,254.08,1644.62,3130.99,311.9467,,,,,,,,
,,,4/9/2020,257.03,1665.05,3141.46,312.3395,,,,,,,,
,,,4/10/2020,257.03,1665.05,3141.46,312.3395,,,,,,,,
,,,4/13/2020,255.95,1661.75,3139.99,312.2949,,,,,,,,
,,,4/14/2020,256.85,1663.97,3142.65,312.462,,,,,,,,
,,,4/15/2020,257.05,1662.34,3143.53,312.8183,,,,,,,,
,,,4/16/2020,257.32,1661.37,3144.42,312.8494,,,,,,,,
,,,4/17/2020,257.56,1661.92,3143.04,312.8247,,,,,,,,
,,,4/20/2020,257.63,1656.31,3141.91,312.6894,,,,,,,,
,,,4/21/2020,256.93,1653.74,3139.72,312.7709,,,,,,,,
,,,4/22/2020,257.42,1657.37,3142.18,312.5879,,,,,,,,
,,,4/23/2020,257.73,1658.54,3143.48,312.6172,,,,,,,,
,,,4/24/2020,259.07,1659.32,3145.05,312.8018,,,,,,,,
,,,4/27/2020,259.54,1659.56,3143.55,312.6624,,,,,,,,
,,,4/28/2020,260.88,1660.89,3144.05,312.8108,,,,,,,,
,,,4/29/2020,262.76,1668.32,3147.88,312.9224,,,,,,,,
,,,4/30/2020,260.92,1664.52,3145.02,313.2369,,,,,,,,
,,,5/1/2020,259.21,1658.27,3142.07,313.1449,,,,,,,,
,,,5/4/2020,259.63,1661.48,3142.71,313.0218,,,,,,,,
,,,5/5/2020,259.87,1662.2,3143.87,313.1015,,,,,,,,
,,,5/6/2020,258.62,1664.05,3141.23,312.7442,,,,,,,,
,,,5/7/2020,261.12,1670.36,3146.34,313.0086,,,,,,,,
,,,5/8/2020,261.27,1674.68,3146.53,312.9153,,,,,,,,
,,,5/11/2020,260.12,1671.36,3146.22,312.7427,,,,,,,,
,,,5/12/2020,259.79,1663.5,3144.53,312.7659,,,,,,,,
,,,5/13/2020,259.23,1661.27,3143.71,312.7713,,,,,,,,
,,,5/14/2020,259.93,1666.42,3147.41,312.8117,,,,,,,,
,,,5/15/2020,259.9,1667.61,3148.03,312.8287,,,,,,,,
,,,5/18/2020,259.32,1677.74,3148.25,312.7837,,,,,,,,
,,,5/19/2020,259.72,1673.23,3148.07,312.6829,,,,,,,,
,,,5/20/2020,261.36,1679.28,3152.77,312.8867,,,,,,,,
,,,5/21/2020,260.47,1677.96,3151.32,312.9304,,,,,,,,
,,,5/22/2020,261.19,1678.66,3152.97,312.9483,,,,,,,,
,,,5/25/2020,261.19,1678.66,3152.97,312.9483,,,,,,,,
,,,5/26/2020,261.17,1676.44,3150.59,312.8052,,,,,,,,
,,,5/27/2020,262.6,1677.42,3152.46,312.9298,,,,,,,,
,,,5/28/2020,261.84,1678.6,3151.47,312.9373,,,,,,,,
,,,5/29/2020,263.39,1683.13,3154.84,313.1081,,,,,,,,
,,,6/1/2020,263.86,1681.43,3153.63,312.9024,,,,,,,,
,,,6/2/2020,263.96,1682.13,3154.55,313.0692,,,,,,,,
,,,6/3/2020,262.73,1675.08,3153.22,312.7667,,,,,,,,
,,,6/4/2020,262.09,1678.24,3149.69,312.5058,,,,,,,,
,,,6/5/2020,261.84,1674.8,3151.74,312.3171,,,,,,,,
,,,6/8/2020,262.88,1676.33,3155.48,312.5556,,,,,,,,
,,,6/9/2020,262.93,1681.44,3156.87,312.6242,,,,,,,,
,,,6/10/2020,263.91,1685.21,3160.49,312.8936,,,,,,,,
,,,6/11/2020,260.73,1671.73,3152.82,313.1692,,,,,,,,
,,,6/12/2020,260.72,1675.05,3153.34,313.15,,,,,,,,
,,,6/15/2020,261.51,1677.91,3154.55,313.1835,,,,,,,,
